analyte,Type
Trihalomethanes,DisinfectionByproduct
Coliform_24hr,Microbial
Coliform_48hr,Microbial
Coliform_72hr,Microbial
E_coli,Microbial
E_coli_24hr,Microbial
E_coli_48hr,Microbial
E_coli_72hr,Microbial
E_coli_MPN,Microbial
Fecal_Coliform,Microbial
Fecal_Coliform_MPN,Microbial
Total_Coliform,Microbial
Total_Coliform_MPN,Microbial
AirTemperature,Other
As_III,Other
As_V,Other
B,Other
Bi,Other
Ce,Other
Co,Other
Dy,Other
Er,Other
Eu,Other
Ga,Other
Gd,Other
H2S,Other
I-,Other
Kr,Other
La,Other
Li,Other
Mo,Other
N_Total,Other
Nd,Other
NetAlpha,Other
NH3,Other
Ni,Other
Organic_C,Other
Organic_N,Other
Orthophosphate,Other
P,Other
Pesticides,Other
PO43-,Other
Pr,Other
Salinity,Other
Sc,Other
Si,Other
Sm,Other
Sn,Other
Sr,Other
Sulfide,Other
Tb,Other
TIC,Other
TN,Other
TOC,Other
TSS,Other
V,SecondaryMCL
VOC,Other
Y,Other
As,PrimaryStandard
Ba,PrimaryStandard
Be,PrimaryStandard
Cd,PrimaryStandard
Cr,PrimaryStandard
Cyanide,PrimaryStandard
"Gross alpha, 2-sigma combined uncertainty",PrimaryStandard
GrossAlpha,PrimaryStandard
GrossAlpha_Am241,PrimaryStandard
GrossAlpha_Total,PrimaryStandard
GrossAlpha_U_Nat,PrimaryStandard
GrossBeta,PrimaryStandard
GrossBeta_Am241,PrimaryStandard
GrossBeta_Cs137,PrimaryStandard
GrossBeta_Sr_Y90,PrimaryStandard
Hg,PrimaryStandard
Mn,PrimaryStandard
Nitrate,PrimaryStandard
Nitrate_Nitrite,PrimaryStandard
NO2-,PrimaryStandard
NO3-,PrimaryStandard
Pb,PrimaryStandard
Ra_226,PrimaryStandard
"Ra_226, 2-sigma combined uncertainty",PrimaryStandard
Ra_228,PrimaryStandard
"Ra_228, 2-sigma combined uncertainty",PrimaryStandard
Ra_Total,PrimaryStandard
Sb,PrimaryStandard
Se,PrimaryStandard
Tl,PrimaryStandard
U,PrimaryStandard
U_Total,PrimaryStandard
C14,Radionuclide
Delta_C13,Radionuclide
Delta_D_H2O,Radionuclide
Delta_H2/H1,Radionuclide
Delta_O18,Radionuclide
Delta_O18/O16,Radionuclide
Delta_S34/S32,Radionuclide
Deuterium/Protium Ratio,Radionuclide
Pb_210,Radionuclide
Rn_222,Radionuclide
S34_S32_Ratio,Radionuclide
Th,Radionuclide
Th_228,Radionuclide
Th_230,Radionuclide
Th_232,Radionuclide
Tritium,Radionuclide
U_233/234,Radionuclide
U_234,Radionuclide
U_235,Radionuclide
U_235/236,Radionuclide
U_238,Radionuclide
Ag,SecondaryMCL
Al,SecondaryMCL
Color,SecondaryMCL
Corrosivity,SecondaryMCL
Cu,SecondaryMCL
F,SecondaryMCL
Fe,SecondaryMCL
Fl-,SecondaryMCL
pH,SecondaryMCL
SO4-,SecondaryMCL
Sulfate,SecondaryMCL
TDS,SecondaryMCL
Zn,SecondaryMCL
Alkalinity,WaterChemistry
Alkalinity_Bicarbonate,WaterChemistry
Alkalinity_CalciumCarbonate,WaterChemistry
Alkalinity_Carbonate,WaterChemistry
Alkalinity_Hydroxide,WaterChemistry
Alkalinity_Total,WaterChemistry
ANC,WaterChemistry
Bicarbonate,WaterChemistry
Br-,WaterChemistry
Ca,WaterChemistry
CaCO3,WaterChemistry
Carbonate,WaterChemistry
Cl,WaterChemistry
Cl-,WaterChemistry
CO2,WaterChemistry
Conductivity,WaterChemistry
DO,WaterChemistry
ElectricalConductivity,WaterChemistry
Hardness,WaterChemistry
Hardness _Calculated,WaterChemistry
Hardness_Total,WaterChemistry
HydrogenIon,WaterChemistry
Hydroxide,WaterChemistry
K,WaterChemistry
Mg,WaterChemistry
Na,WaterChemistry
Na_AdsorptionRatio,WaterChemistry
Na_FractionCations,WaterChemistry
Na_K,WaterChemistry
Noncarbonate_Hardness,WaterChemistry
ORP,WaterChemistry
SpecificConductance,WaterChemistry
Temperature,WaterChemistry
Turbidity,WaterChemistry
