well_id,wellUse,As_,Ba,Ca,Cl_,Cr,GrossAlpha_U_Nat,Nitrate,Pb,Ra_Total,Se,U,None
4,Livestock,0.5,5.5,241.6,,0.5,,,1,1.598,0.55,2.5,
6,Unknown,0.5,31,1.6,,0.5,,,7.6,0.267,0.5,2.5,
11,Domestic,0.5,16,54.4,,0.5,,,1,1.697,0.5,2.5,
17,Domestic,5,20,270,,13.9,,,3.3,3.44,37.7,1.5,
18,Domestic,0.5,18,4.8,,0.5,,,1,1.09,0.5,2.5,
29,Livestock,0.5,18,14.4,,0.5,11,,1,2.036,0.5,2.5,
39,Livestock,0.5,12,36,,0.5,,,1,1.34,0.5,2.5,
43,Livestock,0.71,6.7,324,,0.5,,,1,4.92,0.83,0.38,
49,Unknown,,,4.25,,,,1.5,,,,,
53,Unknown,,,120,,,,0.2,,,,,
55,Domestic,,,109,,,,0.62,,,,,
63,Livestock,5,41,28.6,,1,,0.132,3.3,8.34,5,2.5,
75,Livestock,0.5,16,54,,0.5,,,1,3.026,0.5,2.5,
81,Livestock,1,55,67,,20,,,1,,7,31,
84,Livestock,0.91,130,54,,0.53,,,1,0.863,1.1,3.3,
86,Unknown,0.5,2,0,,5.3,,,2.2,0.722,0.5,2.5,
87,Livestock,0.58,290,78,,0.5,,,1.4,9.565,82,260,
88,Unknown,0.88,61,29,,1,,,1.7,2.078,0.6,2.5,
93,Livestock,2.2,33,9.6,,0.5,,,1,1.76,27,54,
96,Livestock,11,450,74,,1,,0.2,3.58,1.067,10.2,700,
98,Unknown,7.5,8.4,3.2,,0.59,,,4.3,1.686,12,25,
99,Unknown,1.2,130,99,,0.5,,,1,2.86,15,23,
100,Unknown,0.5,7.6,4,,3,,,1,0.646,0.5,2.5,
105,Livestock,0.6,21,212.8,,0.5,,,1,1.97,0.53,0.59,
106,Livestock,0.5,9.7,210,,0.5,,,1,1.904,0.85,2.5,
107,Livestock,0.5,32,4.6,,0.5,,,1.6,0.539,0.5,2.5,
108,Livestock,32,9.3,4.6,,1.3,,5,1,0.1911,16,34,
109,Livestock,55,19,4.8,,1.5,,,4.5,2.526,64,63,
110,Domestic,0.5,65,30.4,,0.5,,,1,3.658,1.1,9.1,
112,Domestic,1,13,51,,1,,,5,0.723,1,2.5,
113,Domestic,0.5,140,18.8,,0.5,,,1,1.187,1,2.4,
115,Livestock,0.5,7.4,82,,0.5,,,1,3.04,7.8,2.5,
123,Livestock,3,,,,,,0.3,,,1,300,
140,Livestock,,,94,,,,,,,,,
144,Unknown,0.53,29,170,,0.5,,,1,0.7808,9.5,110,
148,Unknown,2,130,27,,0.6,,,1,3.389,4,26,
156,Unknown,2.4,43,17.6,,2.4,,,2.2,1.514,0.8,5.2,
157,Unknown,1,,27,,,,,200,,3,,
163,Municipal,1,100,10.9,,3,,0.443,5,,1,,
173,Unknown,,,5,,,,,,,,,
174,Unknown,1.1,24,26,,0.5,,,1.7,,1.3,4.1,
175,Unknown,8.3,60.8,4.57,,1,,,14,1.0523,7.4,29,
198,Unknown,0.5,93,137.6,,0.5,,,1,0.8394,1.2,11,
226,Livestock,0.5,25,132.8,,0.5,,,1,1.924,0.5,2.5,
227,Unknown,0.5,11,4.8,,0.5,,,1,0.836,0.5,2.5,
228,Unknown,1.4,15,188,,0.5,,,1,1.043,1.4,2.2,
232,Unknown,5,200,18.4,,1,,,3.3,0.533,5,10,
259,Unknown,,,,,,,,,,,0.223880597,
273,Livestock,8.53,150,115,,1.03,,,3.3,0.694,5,2.2,
275,Livestock,7.6,64.4,6.76,,5,,,3,,18.13617031,8.073134328,
276,Unknown,8.2,9.5,4.02,,5,,,1.5,,5,0.691044776,
277,Unknown,4,125,43.5,,5,,,16.8,,5,4.804477612,
278,Unknown,10,38.9,16.5,,5,,,3,,5,5.553731343,
279,Domestic,2.8,20.2,35.2,,5,,,2.3,,5,1.310447761,
280,Unknown,10,13,28.4,,5,,,3,,11.16832288,3.735820896,
281,Livestock,6.6,34.5,46.8,,5,,,3,,5,4.591044776,
282,Livestock,10,114,50.4,,5,,,10.3,,14.8,5.617910448,
283,Unknown,10,278,35.2,,5,,,3,,5,2.729850746,
284,Unknown,7.2,149,33.8,,5,,,3,,2.8,5.652238806,
285,Unknown,10,282,35.3,,5,,,4.2,,5,2.362686567,
286,Unknown,10,27.7,28.9,,5,,,1.6,,18.4,9.74,
287,Unknown,3.3,6.8,529,,5,,,3,,13.2,22.69701493,
288,Domestic,10,211,59.5,,5,,,2,,5,9.8,
289,Domestic,10,32.3,31.1,,5,,,3,,5,27.87164179,
