field_1,well_id,Alkalinity,Alkalinity_Total,ANC,As,Ba,Be,Bicarbonate,Br-,Ca,Carbonate,Cd,Cl,Cl-,CO2,Conductivity,Cr,Cyanide,DO,ElectricalConductivity,"Gross alpha, 2-sigma combined uncertainty",GrossAlpha,GrossAlpha_U_Nat,GrossBeta,GrossBeta_Cs137,GrossBeta_Sr_Y90,Hardness,Hardness_Total,Hg,HydrogenIon,Hydroxide,K,Mg,Mn,Na,Na_AdsorptionRatio,Na_FractionCations,Na_K,Nitrate,Nitrate_Nitrite,NO2-,NO3-,Noncarbonate_Hardness,ORP,Pb,Ra_226,"Ra_226, 2-sigma combined uncertainty",Ra_228,"Ra_228, 2-sigma combined uncertainty",Ra_Total,Sb,Se,SpecificConductance,Temperature,Tl,Turbidity,U
1,4,,200,,0.5,5.5,0.25,,,241.6,,0.5,,10.4,,1950,0.5,,,,,4.25,,4.4,,,910,830,0.015,,,3.7,82,150,110,,,,,,0.05,0.05,,,1,0.288,,1.31,,1.598,0.5,0.55,,4.56,1,4.7,2.5
2,6,,443,,0.5,31,0.25,,,1.6,,0.5,,3.78,,837,0.5,,,,,1.1899,,1.65,,,,12,0.015,,,1,1.95,3,200,,,,,,,1.9,,,7.6,0.1,,0.167,,0.267,0.5,0.5,,15.4,1,1.31,2.5
3,11,,259,,0.5,16,0.25,,,54.4,,0.5,,16.2,,1042,0.5,,,,,,,3.21,,,,228,0.015,,,2.5,22.37,130,150,,,,,,,1.4,,,1,0.457,,1.24,,1.697,0.5,0.5,,15.7,1,7.41,2.5
4,17,,325,,5,20,1,,0.2,270,,1,,14.1,,2600,13.9,,6.3,,,7.85,,6.58,,,1100,830,0.066,,,7.69,120,2000,140,,,,,,0.1,0.267,,100,3.3,1.19,,3.71,,3.44,7.34,37.7,,7.6,5,10.1,1.5
5,18,,266,,0.5,18,0.25,,,4.8,,0.5,,14.9,,617,0.5,,,,,,,0.358,,,,6,0.015,,,1,0.25,3.6,150,,,,,,,1.1,,,1,0.09,,-0.125,,1.09,0.5,0.5,,18.1,1,0.85,2.5
6,29,,199,175,0.5,18,0.25,213,,14.4,,0.5,,5.43,1.9,1410,0.5,,,,,5.27,11,5.59,3.3,2.7,60,68,0.015,1.00E-05,,2.4,7.78,18,230,8.7,83,,0,0.21,0.05,0.05,0,,1,0.996,,1.04,,2.036,0.5,0.5,975,5.2,1,12.4,2.5
7,39,,235,,0.5,12,0.25,,,36,,0.5,,6.61,,1631,0.5,,,,,3.5113,,1.46,,,,180,0.015,,,2.6,21.89,92,320,,,,,,,1.3,,,1,0.33,,1.01,,1.34,0.5,0.5,,,1,9.67,2.5
8,43,,195,,0.71,6.7,0.25,,,324,,0.5,,10.5,,2890,0.5,,,,,0.895,,13.8,,,1500,1040,0.015,,,5.3,174.1,310,140,,,,,,0.05,0.05,,,1,1.19,,3.73,,4.92,0.5,0.83,,3.7,1,11.2,0.38
9,49,,,525,,,,600,,4.25,33,,,21.5,1.95,,,,,,,,,,,,13,,,,,1,0.55,,600,74,99,,1.5,,,,,,,,,,,,,,2570,,,,
10,53,,,279,,,,340,,120,0,,,22,14,,,,,,,,,,,,500,,,3.00E-05,,,49,,,,,490,0.2,,,,,,,,,,,,,,2750,,,,
11,55,,,197.5,,,,225,,109,8,,,8.15,8.75,,,,,,,,,,,,395,,,2.00E-05,,1,30.5,,160,3.8,51,220,0.62,,,,,,,,,,,,,,1300,,,,
12,63,176,169,172,5,41,1,210.5,,28.6,1,1,,5.27,2.9,1311,1,,3.58,,,14.016,,10.8,,,119,116,0.066,1.00E-05,,2.685,11.1,130,245.5,10.1,46.5,,0.132,0.42,,0.05,,-38,3.3,1.94,,6.4,,8.34,3,5,1340,16.5,5,17.85,2.5
13,75,,223,,0.5,16,0.25,,,54,,0.5,,2.7,,806,0.5,,,,,-0.501,,5.1,,,220,232,0.015,,,2.8,25.54,1,99,,,,,,0.05,0.05,,,1,0.486,,2.54,,3.026,0.5,0.5,,,1,9.94,2.5
14,81,,,,1,55,1,,,67,,1,,,,,20,,5,0.471,,,,,,,,,,,,2.2,14,2,130,,,,,,,4.2,,,1,,,,,,,7,,24.7,,0,31
15,84,,109,,0.91,130,0.25,,,54,,0.5,,17.5,,380,0.53,,,,,5.03,,2.85,,,170,312,0.015,,,2.6,43.53,5.4,10,,,,,,0.05,3.8,,,1,0.546,,0.317,,0.863,0.5,1.1,,8.3,1,9.43,3.3
16,86,,155,,0.5,2,0.25,,,0,,0.5,,1.3,,388,5.3,,,,,3.15,,2.86,,,,4,0.015,,,1,0.97,2.9,95,,,,,,0.05,0.05,,,2.2,0.259,,0.463,,0.722,0.5,0.5,,1.35,1,2.06,2.5
17,87,,190,,0.58,290,0.25,,,78,,0.5,,27.5,,529,0.5,,,,,281,,105,,,240,220,0.14,,,1.3,10.87,12,20,,,,,,0.05,0.79,,,1.4,9.39,,0.175,,9.565,0.5,82,,7.03,1,4.09,260
18,88,,75,,0.88,61,0.25,,,29,,0.5,,1.09,,174,1,,,,,5.81,,8.77,,,82,88,0.015,,,3.4,4.74,8.6,2.5,,,,,,0.05,1.6,,,1.7,0.378,,1.7,,2.078,0.5,0.6,,8.2,1,36.7,2.5
19,93,,287,,2.2,33,0.25,,,9.6,,0.5,,15.9,,958,0.5,,,,,35.4,,25,,,39,40,0.015,,,6.7,4,3.5,230,,,,,,0.05,1.2,,,1,0.2,,1.56,,1.76,0.5,27,,8.3,1,1.01,54
20,96,,586,,11,450,1,635,0.234,74,,6,,20.8,,1430,1,,3.05,,,,,5,,,,276,0.066,,,2.54,22.37,100,223,,,,0.2,,0.1,7,,86,3.58,1.2,,4.58,,1.067,3,10.2,,16.25,5,15.3705,700
21,98,,112,,7.5,8.4,0.25,,,3.2,,0.5,,11,,399,0.59,,,,,25.3,,7.21,,,4.6,8,0.015,,,1.1,0,5.4,89,,,,,,0.05,0.05,,,4.3,0.436,,1.25,,1.686,0.5,12,,6.5,1,13.8,25
